"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 17-Mar-2020","30 D % CHNG 
 15-Feb-2021"
"JSWSTEEL","441.00","449.00","436.80","440.55","445.40","4.85","1.10",7010923,"3,102,683,973.65","449.00","132.50","150.67","11.35"
"GAIL","140.00","140.00","135.35","138.50","137.45","1.45","1.07",17116629,"2,347,887,999.93","157.95","65.60","71.41","-4.75"
"DIVISLAB","3,371.35","3,444.00","3,350.55","3,370.30","3,403.45","33.15","0.98",748535,"2,560,932,854.10","3,914.95","1,631.05","68.95","-4.34"
"ULTRACEMCO","6,665.90","6,785.00","6,631.30","6,672.00","6,732.80","60.80","0.91",467719,"3,135,564,790.05","6,944.20","2,910.00","86.69","7.47"
"NESTLEIND","16,451.00","16,675.00","16,351.00","16,450.85","16,570.10","119.25","0.72",108786,"1,798,756,928.52","18,844.00","12,200.00","16.30","0.45"
"ASIANPAINT","2,390.00","2,438.10","2,390.00","2,411.25","2,427.95","16.70","0.69",1489853,"3,605,250,579.11","2,873.45","1,431.20","38.34","-0.22"
"EICHERMOT","2,668.00","2,692.00","2,650.05","2,661.50","2,679.00","17.50","0.66",694227,"1,852,975,170.24","3,037.00","1,245.01","-83.02","2.97"
"IOC","99.65","99.80","98.25","98.75","99.20","0.45","0.46",21252461,"2,100,168,196.02","105.00","71.15","9.00","1.23"
"GRASIM","1,419.00","1,428.00","1,401.25","1,411.25","1,416.00","4.75","0.34",1587634,"2,245,359,013.52","1,428.00","385.05","166.58","15.87"
"BAJAJ-AUTO","3,650.20","3,685.00","3,634.30","3,650.05","3,661.50","11.45","0.31",502724,"1,839,542,524.60","4,361.40","1,788.65","62.78","-8.77"
"HDFC","2,530.10","2,547.35","2,485.00","2,531.65","2,536.20","4.55","0.18",3367784,"8,474,051,778.64","2,896.00","1,473.45","44.34","-7.65"
"M&M","849.80","859.35","832.15","850.30","851.05","0.75","0.09",2906300,"2,460,444,517.00","952.05","245.40","163.58","-3.29"
"UPL","624.95","636.90","617.65","625.45","625.90","0.45","0.07",6196079,"3,903,343,887.63","639.55","240.15","108.38","13.14"
"SHREECEM","26,900.00","27,214.15","26,618.00","26,936.70","26,940.15","3.45","0.01",45373,"1,219,086,755.03","29,090.00","15,410.00","42.49","-2.20"
"MARUTI","7,104.00","7,142.50","7,050.20","7,113.55","7,106.00","-7.55","-0.11",533767,"3,783,345,833.67","8,329.00","4,001.10","40.05","-2.86"
"TITAN","1,465.00","1,468.65","1,448.00","1,465.45","1,462.00","-3.45","-0.24",1331121,"1,937,792,706.96","1,621.35","720.90","61.95","2.80"
"BAJAJFINSV","9,450.00","9,494.95","9,312.05","9,440.65","9,402.00","-38.65","-0.41",293029,"2,757,271,026.95","10,579.00","3,985.30","51.46","-7.90"
"KOTAKBANK","1,833.00","1,849.95","1,805.00","1,834.15","1,825.00","-9.15","-0.50",2434097,"4,445,586,078.86","2,049.00","1,001.00","45.30","-5.40"
"COALINDIA","137.60","137.60","135.30","136.30","135.60","-0.70","-0.51",11414253,"1,552,452,550.53","163.00","109.55","2.64","-2.12"
"BHARTIARTL","533.05","534.00","523.00","529.95","527.00","-2.95","-0.56",13331409,"7,031,784,991.14","623.00","361.75","14.55","-8.84"
"HEROMOTOCO","3,131.60","3,143.95","3,081.15","3,119.15","3,100.00","-19.15","-0.61",619756,"1,928,600,103.72","3,629.05","1,475.00","71.79","-7.98"
"LT","1,409.00","1,417.40","1,392.25","1,411.25","1,401.90","-9.35","-0.66",2964175,"4,152,720,249.75","1,593.00","661.00","63.21","-6.47"
"ONGC","110.50","111.25","108.55","110.50","109.50","-1.00","-0.90",15825065,"1,738,066,888.95","122.35","58.10","52.73","5.14"
"SBIN","372.00","372.80","363.50","371.15","367.60","-3.55","-0.96",28461974,"10,466,037,079.28","427.70","149.45","76.86","-7.11"
"RELIANCE","2,071.00","2,074.00","2,033.20","2,082.00","2,061.00","-21.00","-1.01",8571196,"17,578,923,012.28","2,369.35","866.98","104.53","0.08"
"SBILIFE","905.00","909.25","895.35","906.70","897.55","-9.15","-1.01",1660688,"1,495,283,475.20","983.75","519.40","43.13","2.86"
"HDFCLIFE","689.45","694.75","678.25","688.45","680.05","-8.40","-1.22",2585880,"1,766,285,334.00","746.00","340.00","64.66","-3.12"
"BAJFINANCE","5,446.50","5,497.00","5,337.00","5,453.25","5,384.10","-69.15","-1.27",1938461,"10,465,809,092.83","5,822.20","1,783.00","84.74","-0.81"
"AXISBANK","719.00","730.00","709.30","726.25","717.00","-9.25","-1.27",14802230,"10,620,896,069.60","799.00","286.00","69.63","-3.12"
"HDFCBANK","1,494.90","1,494.90","1,460.40","1,497.50","1,474.00","-23.50","-1.57",7007816,"10,324,405,078.32","1,641.00","738.75","69.62","-2.70"
"TATAMOTORS","306.45","307.50","300.10","308.95","302.85","-6.10","-1.97",56385019,"17,125,821,820.87","357.00","63.50","299.68","-0.93"
"ICICIBANK","586.85","586.85","569.50","586.65","573.70","-12.95","-2.21",21755401,"12,526,759,895.80","679.40","268.30","69.70","-5.99"
"POWERGRID","234.40","234.40","222.20","230.20","222.60","-7.60","-3.30",16414250,"3,700,920,947.50","238.30","140.10","46.39","-0.86"
"INDUSINDBK","1,006.00","1,011.85","961.05","1,011.90","969.35","-42.55","-4.20",12692489,"12,433,816,074.18","1,119.50","235.55","129.79","-5.07"
